Time (ms),3xAA,4xAA,2xAA,Time (minutes),3xAA (V),4xAA (V),2xAA (V)
375095,1023,856,796,6.2515833333,4.9951171875,4.1796875,3.88671875
380096,1023,854,785,6.3349333333,4.9951171875,4.169921875,3.8330078125
385097,1023,854,784,6.4182833333,4.9951171875,4.169921875,3.828125
390099,1023,853,834,6.50165,4.9951171875,4.1650390625,4.072265625
395101,1023,852,781,6.5850166667,4.9951171875,4.16015625,3.8134765625
400102,1023,852,818,6.6683666667,4.9951171875,4.16015625,3.994140625
405103,1023,851,777,6.7517166667,4.9951171875,4.1552734375,3.7939453125
410104,1023,851,774,6.8350666667,4.9951171875,4.1552734375,3.779296875
415106,1023,850,774,6.9184333333,4.9951171875,4.150390625,3.779296875
420107,1023,849,765,7.0017833333,4.9951171875,4.1455078125,3.7353515625
425108,1023,848,790,7.0851333333,4.9951171875,4.140625,3.857421875
430109,1023,848,755,7.1684833333,4.9951171875,4.140625,3.6865234375
435111,1023,847,759,7.25185,4.9951171875,4.1357421875,3.7060546875
440113,1023,846,760,7.3352166667,4.9951171875,4.130859375,3.7109375
445114,1023,846,765,7.4185666667,4.9951171875,4.130859375,3.7353515625
450115,1023,846,759,7.5019166667,4.9951171875,4.130859375,3.7060546875
455116,1023,845,762,7.5852666667,4.9951171875,4.1259765625,3.720703125
460118,1023,845,760,7.6686333333,4.9951171875,4.1259765625,3.7109375
465119,1023,844,760,7.7519833333,4.9951171875,4.12109375,3.7109375
470120,1023,844,760,7.8353333333,4.9951171875,4.12109375,3.7109375
475121,1023,843,759,7.9186833333,4.9951171875,4.1162109375,3.7060546875
480123,1023,843,760,8.00205,4.9951171875,4.1162109375,3.7109375
485125,1023,842,759,8.0854166667,4.9951171875,4.111328125,3.7060546875
490126,1023,841,760,8.1687666667,4.9951171875,4.1064453125,3.7109375
495127,1023,841,759,8.2521166667,4.9951171875,4.1064453125,3.7060546875
500128,1023,840,806,8.3354666667,4.9951171875,4.1015625,3.935546875
505129,1023,840,794,8.4188166667,4.9951171875,4.1015625,3.876953125
510131,1023,839,809,8.5021833333,4.9951171875,4.0966796875,3.9501953125
515132,1023,839,758,8.5855333333,4.9951171875,4.0966796875,3.701171875
520133,1023,839,793,8.6688833333,4.9951171875,4.0966796875,3.8720703125
525135,1023,838,758,8.75225,4.9951171875,4.091796875,3.701171875
530137,1023,837,764,8.8356166667,4.9951171875,4.0869140625,3.73046875
535138,1023,837,767,8.9189666667,4.9951171875,4.0869140625,3.7451171875
540139,1023,837,757,9.0023166667,4.9951171875,4.0869140625,3.6962890625
545140,1023,836,799,9.0856666667,4.9951171875,4.08203125,3.9013671875
550141,1023,836,758,9.1690166667,4.9951171875,4.08203125,3.701171875
555143,1023,835,757,9.2523833333,4.9951171875,4.0771484375,3.6962890625
560144,1023,835,791,9.3357333333,4.9951171875,4.0771484375,3.8623046875
565145,1023,835,757,9.4190833333,4.9951171875,4.0771484375,3.6962890625
570147,1023,834,795,9.50245,4.9951171875,4.072265625,3.8818359375
575149,1023,834,803,9.5858166667,4.9951171875,4.072265625,3.9208984375
580150,1022,834,757,9.6691666667,4.990234375,4.072265625,3.6962890625
585151,1022,832,757,9.7525166667,4.990234375,4.0625,3.6962890625
590152,1021,833,757,9.8358666667,4.9853515625,4.0673828125,3.6962890625
595153,1021,832,757,9.9192166667,4.9853515625,4.0625,3.6962890625
600155,1020,832,757,10.0025833333,4.98046875,4.0625,3.6962890625
605156,1019,832,795,10.0859333333,4.9755859375,4.0625,3.8818359375
610157,1019,831,756,10.1692833333,4.9755859375,4.0576171875,3.69140625
615159,1018,831,784,10.25265,4.970703125,4.0576171875,3.828125
620161,1018,830,756,10.3360166667,4.970703125,4.052734375,3.69140625
625162,1016,830,756,10.4193666667,4.9609375,4.052734375,3.69140625
630163,1016,829,756,10.5027166667,4.9609375,4.0478515625,3.69140625
635164,1016,829,756,10.5860666667,4.9609375,4.0478515625,3.69140625
640165,1015,829,795,10.6694166667,4.9560546875,4.0478515625,3.8818359375
645167,1015,829,755,10.7527833333,4.9560546875,4.0478515625,3.6865234375
650168,1014,828,754,10.8361333333,4.951171875,4.04296875,3.681640625
655169,1013,827,769,10.9194833333,4.9462890625,4.0380859375,3.7548828125
660171,1012,827,753,11.00285,4.94140625,4.0380859375,3.6767578125
665172,1012,828,753,11.0862,4.94140625,4.04296875,3.6767578125
670174,1012,827,797,11.1695666667,4.94140625,4.0380859375,3.8916015625
675175,1011,826,752,11.2529166667,4.9365234375,4.033203125,3.671875
680176,1010,826,752,11.3362666667,4.931640625,4.033203125,3.671875
685177,1010,826,793,11.4196166667,4.931640625,4.033203125,3.8720703125
690179,1010,826,750,11.5029833333,4.931640625,4.033203125,3.662109375
695180,1009,825,752,11.5863333333,4.9267578125,4.0283203125,3.671875
700181,1008,824,752,11.6696833333,4.921875,4.0234375,3.671875
705183,1008,824,752,11.75305,4.921875,4.0234375,3.671875
710184,1007,824,751,11.8364,4.9169921875,4.0234375,3.6669921875
715186,1007,823,751,11.9197666667,4.9169921875,4.0185546875,3.6669921875
720187,1006,823,751,12.0031166667,4.912109375,4.0185546875,3.6669921875
725188,1006,823,750,12.0864666667,4.912109375,4.0185546875,3.662109375
730189,1005,823,751,12.1698166667,4.9072265625,4.0185546875,3.6669921875
735191,1005,823,794,12.2531833333,4.9072265625,4.0185546875,3.876953125
740192,1004,822,751,12.3365333333,4.90234375,4.013671875,3.6669921875
745193,1003,822,786,12.4198833333,4.8974609375,4.013671875,3.837890625
750195,1003,822,749,12.50325,4.8974609375,4.013671875,3.6572265625
755196,1002,821,750,12.5866,4.892578125,4.0087890625,3.662109375
760198,1002,821,780,12.6699666667,4.892578125,4.0087890625,3.80859375
765199,1001,821,749,12.7533166667,4.8876953125,4.0087890625,3.6572265625
770200,1001,821,781,12.8366666667,4.8876953125,4.0087890625,3.8134765625
775201,1000,820,750,12.9200166667,4.8828125,4.00390625,3.662109375
780203,1000,820,751,13.0033833333,4.8828125,4.00390625,3.6669921875
785204,1000,819,749,13.0867333333,4.8828125,3.9990234375,3.6572265625
790205,999,819,780,13.1700833333,4.8779296875,3.9990234375,3.80859375
795206,999,818,749,13.2534333333,4.8779296875,3.994140625,3.6572265625
800208,998,818,750,13.3368,4.873046875,3.994140625,3.662109375
805210,997,818,748,13.4201666667,4.8681640625,3.994140625,3.65234375
810211,997,818,748,13.5035166667,4.8681640625,3.994140625,3.65234375
815212,996,818,789,13.5868666667,4.86328125,3.994140625,3.8525390625
820213,997,818,752,13.6702166667,4.8681640625,3.994140625,3.671875
825214,996,816,749,13.7535666667,4.86328125,3.984375,3.6572265625
830216,995,817,749,13.8369333333,4.8583984375,3.9892578125,3.6572265625
835217,995,816,749,13.9202833333,4.8583984375,3.984375,3.6572265625
840218,995,816,748,14.0036333333,4.8583984375,3.984375,3.65234375
845219,994,816,748,14.0869833333,4.853515625,3.984375,3.65234375
850221,994,816,757,14.17035,4.853515625,3.984375,3.6962890625
855222,994,815,782,14.2537,4.853515625,3.9794921875,3.818359375
860223,993,815,769,14.33705,4.8486328125,3.9794921875,3.7548828125
865224,992,815,749,14.4204,4.84375,3.9794921875,3.6572265625
870225,992,814,748,14.50375,4.84375,3.974609375,3.65234375
875227,992,814,746,14.5871166667,4.84375,3.974609375,3.642578125
880228,991,814,747,14.6704666667,4.8388671875,3.974609375,3.6474609375
885230,991,814,791,14.7538333333,4.8388671875,3.974609375,3.8623046875
890231,991,814,748,14.8371833333,4.8388671875,3.974609375,3.65234375
895233,990,814,748,14.92055,4.833984375,3.974609375,3.65234375
900234,990,813,748,15.0039,4.833984375,3.9697265625,3.65234375
905235,990,813,746,15.08725,4.833984375,3.9697265625,3.642578125
910236,989,813,747,15.1706,4.8291015625,3.9697265625,3.6474609375
915237,989,813,746,15.25395,4.8291015625,3.9697265625,3.642578125
920239,988,812,780,15.3373166667,4.82421875,3.96484375,3.80859375
925240,988,812,791,15.4206666667,4.82421875,3.96484375,3.8623046875
930241,988,812,785,15.5040166667,4.82421875,3.96484375,3.8330078125
935242,988,811,777,15.5873666667,4.82421875,3.9599609375,3.7939453125
940243,987,811,746,15.6707166667,4.8193359375,3.9599609375,3.642578125
945245,987,811,756,15.7540833333,4.8193359375,3.9599609375,3.69140625
950246,987,810,745,15.8374333333,4.8193359375,3.955078125,3.6376953125
955247,986,810,745,15.9207833333,4.814453125,3.955078125,3.6376953125
960248,986,810,746,16.0041333333,4.814453125,3.955078125,3.642578125
965250,985,810,746,16.0875,4.8095703125,3.955078125,3.642578125
970252,985,809,777,16.1708666667,4.8095703125,3.9501953125,3.7939453125
975253,984,808,745,16.2542166667,4.8046875,3.9453125,3.6376953125
980254,984,808,745,16.3375666667,4.8046875,3.9453125,3.6376953125
985255,984,809,746,16.4209166667,4.8046875,3.9501953125,3.642578125
990257,984,808,745,16.5042833333,4.8046875,3.9453125,3.6376953125
995258,984,808,744,16.5876333333,4.8046875,3.9453125,3.6328125
1000259,984,807,744,16.6709833333,4.8046875,3.9404296875,3.6328125
1005260,984,807,785,16.7543333333,4.8046875,3.9404296875,3.8330078125
1010262,983,807,779,16.8377,4.7998046875,3.9404296875,3.8037109375
1015263,983,807,772,16.92105,4.7998046875,3.9404296875,3.76953125
1020264,982,807,744,17.0044,4.794921875,3.9404296875,3.6328125
1025265,982,807,785,17.08775,4.794921875,3.9404296875,3.8330078125
1030267,982,806,782,17.1711166667,4.794921875,3.935546875,3.818359375
1035269,981,806,744,17.2544833333,4.7900390625,3.935546875,3.6328125
1040270,981,806,785,17.3378333333,4.7900390625,3.935546875,3.8330078125
1045271,981,805,743,17.4211833333,4.7900390625,3.9306640625,3.6279296875
1050272,981,805,744,17.5045333333,4.7900390625,3.9306640625,3.6328125
1055273,981,805,743,17.5878833333,4.7900390625,3.9306640625,3.6279296875
1060275,981,804,743,17.67125,4.7900390625,3.92578125,3.6279296875
1065276,979,805,744,17.7546,4.7802734375,3.9306640625,3.6328125
1070277,979,805,743,17.83795,4.7802734375,3.9306640625,3.6279296875
1075279,980,804,742,17.9213166667,4.78515625,3.92578125,3.623046875
1080281,979,804,743,18.0046833333,4.7802734375,3.92578125,3.6279296875
1085282,979,804,744,18.0880333333,4.7802734375,3.92578125,3.6328125
1090283,978,804,782,18.1713833333,4.775390625,3.92578125,3.818359375
1095284,979,803,742,18.2547333333,4.7802734375,3.9208984375,3.623046875
1100285,978,803,742,18.3380833333,4.775390625,3.9208984375,3.623046875
1105287,978,803,754,18.42145,4.775390625,3.9208984375,3.681640625
1110288,977,803,776,18.5048,4.7705078125,3.9208984375,3.7890625
1115289,977,802,741,18.58815,4.7705078125,3.916015625,3.6181640625
1120290,977,802,742,18.6715,4.7705078125,3.916015625,3.623046875
1125293,977,802,776,18.7548833333,4.7705078125,3.916015625,3.7890625
1130294,977,801,741,18.8382333333,4.7705078125,3.9111328125,3.6181640625
1135295,977,802,780,18.9215833333,4.7705078125,3.916015625,3.80859375
1140296,976,801,741,19.0049333333,4.765625,3.9111328125,3.6181640625
1145297,976,801,742,19.0882833333,4.765625,3.9111328125,3.623046875
1150299,976,801,781,19.17165,4.765625,3.9111328125,3.8134765625
1155300,976,801,742,19.255,4.765625,3.9111328125,3.623046875
1160301,975,801,743,19.33835,4.7607421875,3.9111328125,3.6279296875
1165302,975,800,781,19.4217,4.7607421875,3.90625,3.8134765625
1170305,975,801,741,19.5050833333,4.7607421875,3.9111328125,3.6181640625
1175306,975,800,740,19.5884333333,4.7607421875,3.90625,3.61328125
1180307,975,800,740,19.6717833333,4.7607421875,3.90625,3.61328125
1185308,974,800,740,19.7551333333,4.755859375,3.90625,3.61328125
1190309,974,799,741,19.8384833333,4.755859375,3.9013671875,3.6181640625
1195311,974,799,741,19.92185,4.755859375,3.9013671875,3.6181640625
1200312,974,799,774,20.0052,4.755859375,3.9013671875,3.779296875
1205313,973,799,775,20.08855,4.7509765625,3.9013671875,3.7841796875
1210314,972,799,770,20.1719,4.74609375,3.9013671875,3.759765625
1215316,973,799,740,20.2552666667,4.7509765625,3.9013671875,3.61328125
1220318,973,799,781,20.3386333333,4.7509765625,3.9013671875,3.8134765625
1225319,973,798,741,20.4219833333,4.7509765625,3.896484375,3.6181640625
1230320,973,797,747,20.5053333333,4.7509765625,3.8916015625,3.6474609375
1235321,972,798,740,20.5886833333,4.74609375,3.896484375,3.61328125
1240323,972,797,769,20.67205,4.74609375,3.8916015625,3.7548828125
1245324,972,798,740,20.7554,4.74609375,3.896484375,3.61328125
1250325,972,798,739,20.83875,4.74609375,3.896484375,3.6083984375
1255326,971,797,742,20.9221,4.7412109375,3.8916015625,3.623046875
1260327,971,797,769,21.00545,4.7412109375,3.8916015625,3.7548828125
1265330,971,797,740,21.0888333333,4.7412109375,3.8916015625,3.61328125
1270331,971,796,777,21.1721833333,4.7412109375,3.88671875,3.7939453125
1275332,971,796,768,21.2555333333,4.7412109375,3.88671875,3.75
1280333,970,796,739,21.3388833333,4.736328125,3.88671875,3.6083984375
1285335,970,795,739,21.42225,4.736328125,3.8818359375,3.6083984375
1290336,970,795,738,21.5056,4.736328125,3.8818359375,3.603515625
1295337,969,795,771,21.58895,4.7314453125,3.8818359375,3.7646484375
1300338,970,795,739,21.6723,4.736328125,3.8818359375,3.6083984375
1305339,969,795,739,21.75565,4.7314453125,3.8818359375,3.6083984375
1310342,969,795,739,21.8390333333,4.7314453125,3.8818359375,3.6083984375
1315343,969,795,739,21.9223833333,4.7314453125,3.8818359375,3.6083984375
1320344,969,794,738,22.0057333333,4.7314453125,3.876953125,3.603515625
1325345,969,795,780,22.0890833333,4.7314453125,3.8818359375,3.80859375
1330347,968,794,740,22.17245,4.7265625,3.876953125,3.61328125
1335348,968,794,738,22.2558,4.7265625,3.876953125,3.603515625
1340349,968,794,738,22.33915,4.7265625,3.876953125,3.603515625
1345350,968,793,738,22.4225,4.7265625,3.8720703125,3.603515625
1350351,968,793,738,22.50585,4.7265625,3.8720703125,3.603515625
1355354,967,793,768,22.5892333333,4.7216796875,3.8720703125,3.75
1360355,967,793,737,22.6725833333,4.7216796875,3.8720703125,3.5986328125
1365356,967,792,738,22.7559333333,4.7216796875,3.8671875,3.603515625
1370357,967,793,737,22.8392833333,4.7216796875,3.8720703125,3.5986328125
1375358,967,793,738,22.9226333333,4.7216796875,3.8720703125,3.603515625
